SourceFile,FileName,FNumber,ExposureTime,ISO,LensModel,location
/Users/jakenishimura/Pictures/20260428 instagram/portrait/01.jpg,01.jpg,1.4,1/5000,100,FE 50mm F1.4 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/02.jpg,02.jpg,1.4,1/4000,160,FE 85mm F1.4 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/03.jpg,03.jpg,1.8,1/6400,100,135mm F1.8 ZA,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/04.jpg,04.jpg,1.4,1/8000,100,FE 50mm F1.4 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/05.jpg,05.jpg,1.4,1/8000,160,FE 85mm F1.4 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/06.jpg,06.jpg,4.0,1/800,100,FE 24-105mm F4 G OSS,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/07.jpg,07.jpg,1.8,1/500,160,FE 85mm F1.8,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/08.jpg,08.jpg,6.3,1/250,100,FE 24mm F1.4 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/09.jpg,09.jpg,4.0,1/320,100,FE 24mm F1.4 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/10.jpg,10.jpg,3.5,1/3200,100,FE 85mm F1.8,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/11.jpg,11.jpg,1.8,1/8000,100,FE 85mm F1.8,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/12.jpg,12.jpg,1.8,1/8000,100,FE 85mm F1.8,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/13.jpg,13.jpg,1.8,1/8000,400,135mm F1.8 ZA,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/14.jpg,14.jpg,2.8,1/1600,100,FE 16-35mm F2.8 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/15.jpg,15.jpg,3.5,1/800,100,FE 85mm F1.4 GM,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/16.jpg,16.jpg,2.0,1/8000,640,FE 85mm F1.8,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/17.jpg,17.jpg,1.8,1/250,50,FE 85mm F1.8,TBA
/Users/jakenishimura/Pictures/20260428 instagram/portrait/18.jpg,18.jpg,10.0,1/250,1000,FE 85mm F1.8,TBA
